EntryID	Reaction	ECNumber	UniProtKB_AC	Organism	pH	parameter.name	parameter.type	parameter.associatedSpecies	parameter.startValue	parameter.endValue	parameter.standardDeviation	parameter.unit
3243	L-Lactate + NAD+ = NADH + H+ + Pyruvate	1.1.1.27	P00935	Escherichia coli	7.8	kcat/Km	kcat/Km	Pyruvate	110000.0		-	M^(-1)*s^(-1)
3243	L-Lactate + NAD+ = NADH + H+ + Pyruvate	1.1.1.27	P00935	Escherichia coli	7.8	E	concentration	Enzyme	1.8E-6		-	M
6813	L-Lactate + NAD+ = NADH + H+ + Pyruvate	1.1.1.27	Q76NM3;Q71T02;P13774	Plasmodium falciparum	7.5	Ki3	Ki	Gossylic lactone	4.0E-7		-	M
6813	L-Lactate + NAD+ = NADH + H+ + Pyruvate	1.1.1.27	Q76NM3;Q71T02;P13774	Plasmodium falciparum	7.5	A	concentration	Pyruvate	0.01		-	M
6813	L-Lactate + NAD+ = NADH + H+ + Pyruvate	1.1.1.27	Q76NM3;Q71T02;P13774	Plasmodium falciparum	7.5	Km	Km	Pyruvate	3.0E-5		3E-6	M
6813	L-Lactate + NAD+ = NADH + H+ + Pyruvate	1.1.1.27	Q76NM3;Q71T02;P13774	Plasmodium falciparum	7.5	kcat	kcat		148.3333		5E0	s^(-1)
6813	L-Lactate + NAD+ = NADH + H+ + Pyruvate	1.1.1.27	Q76NM3;Q71T02;P13774	Plasmodium falciparum	7.5	Ki2	Ki	Gossylic nitrile 1,1'-diacetate	7.0E-7		-	M
6813	L-Lactate + NAD+ = NADH + H+ + Pyruvate	1.1.1.27	Q76NM3;Q71T02;P13774	Plasmodium falciparum	7.5	Ki1	Ki	Gossypol	7.0E-7		-	M
6813	L-Lactate + NAD+ = NADH + H+ + Pyruvate	1.1.1.27	Q76NM3;Q71T02;P13774	Plasmodium falciparum	7.5	kcat_Km	kcat/Km	Pyruvate	5000000.0		-	M^(-1)*s^(-1)
6813	L-Lactate + NAD+ = NADH + H+ + Pyruvate	1.1.1.27	Q76NM3;Q71T02;P13774	Plasmodium falciparum	7.5	B	concentration	NADH	1.0E-4		-	M
6814	L-Lactate + NAD+ = NADH + H+ + Pyruvate	1.1.1.27	Q6JH32	Plasmodium ovale	7.5	Km	Km	Pyruvate	7.1E-5		4E-6	M
6814	L-Lactate + NAD+ = NADH + H+ + Pyruvate	1.1.1.27	Q6JH32	Plasmodium ovale	7.5	B	concentration	NADH	1.0E-4		-	M
6814	L-Lactate + NAD+ = NADH + H+ + Pyruvate	1.1.1.27	Q6JH32	Plasmodium ovale	7.5	Ki2	Ki	Gossylic nitrile 1,1'-diacetate	7.0E-7		-	M
6814	L-Lactate + NAD+ = NADH + H+ + Pyruvate	1.1.1.27	Q6JH32	Plasmodium ovale	7.5	A	concentration	Pyruvate	0.01		-	M
6814	L-Lactate + NAD+ = NADH + H+ + Pyruvate	1.1.1.27	Q6JH32	Plasmodium ovale	7.5	Ki1	Ki	Gossypol	1.9E-6		-	M
6814	L-Lactate + NAD+ = NADH + H+ + Pyruvate	1.1.1.27	Q6JH32	Plasmodium ovale	7.5	Ki3	Ki	Gossylic lactone	5.0E-7		-	M
6814	L-Lactate + NAD+ = NADH + H+ + Pyruvate	1.1.1.27	Q6JH32	Plasmodium ovale	7.5	kcat_Km	kcat/Km	Pyruvate	3833333.0		-	M^(-1)*s^(-1)
6814	L-Lactate + NAD+ = NADH + H+ + Pyruvate	1.1.1.27	Q6JH32	Plasmodium ovale	7.5	kcat	kcat		266.6667		5E0	s^(-1)
6815	L-Lactate + NAD+ = NADH + H+ + Pyruvate	1.1.1.27	Q6JH31	Plasmodium malariae	7.5	A	concentration	Pyruvate	0.01		-	M
6815	L-Lactate + NAD+ = NADH + H+ + Pyruvate	1.1.1.27	Q6JH31	Plasmodium malariae	7.5	B	concentration	NADH	1.0E-4		-	M
6815	L-Lactate + NAD+ = NADH + H+ + Pyruvate	1.1.1.27	Q6JH31	Plasmodium malariae	7.5	Ki3	Ki	Gossylic lactone	1.5E-6		-	M
6815	L-Lactate + NAD+ = NADH + H+ + Pyruvate	1.1.1.27	Q6JH31	Plasmodium malariae	7.5	Ki2	Ki	Gossylic nitrile 1,1'-diacetate	1.8E-6		-	M
6815	L-Lactate + NAD+ = NADH + H+ + Pyruvate	1.1.1.27	Q6JH31	Plasmodium malariae	7.5	Ki1	Ki	Gossypol	1.26E-5		-	M
6815	L-Lactate + NAD+ = NADH + H+ + Pyruvate	1.1.1.27	Q6JH31	Plasmodium malariae	7.5	kcat_Km	kcat/Km	Pyruvate	900000.0		-	M^(-1)*s^(-1)
6815	L-Lactate + NAD+ = NADH + H+ + Pyruvate	1.1.1.27	Q6JH31	Plasmodium malariae	7.5	Km	Km	Pyruvate	1.4E-4		1.8E-5	M
6815	L-Lactate + NAD+ = NADH + H+ + Pyruvate	1.1.1.27	Q6JH31	Plasmodium malariae	7.5	kcat	kcat		125.0		5E0	s^(-1)
6816	L-Lactate + NAD+ = NADH + H+ + Pyruvate	1.1.1.27	Q6JH30;Q4PRK9	Plasmodium vivax	7.5	kcat	kcat		126.6667		3.333333E0	s^(-1)
6816	L-Lactate + NAD+ = NADH + H+ + Pyruvate	1.1.1.27	Q6JH30;Q4PRK9	Plasmodium vivax	7.5	B	concentration	NADH	1.0E-4		-	M
6816	L-Lactate + NAD+ = NADH + H+ + Pyruvate	1.1.1.27	Q6JH30;Q4PRK9	Plasmodium vivax	7.5	Km	Km	Pyruvate	1.7E-5		1E-6	M
6816	L-Lactate + NAD+ = NADH + H+ + Pyruvate	1.1.1.27	Q6JH30;Q4PRK9	Plasmodium vivax	7.5	Ki1	Ki	Gossypol	1.4E-6		-	M
6816	L-Lactate + NAD+ = NADH + H+ + Pyruvate	1.1.1.27	Q6JH30;Q4PRK9	Plasmodium vivax	7.5	Ki2	Ki	Gossylic nitrile 1,1'-diacetate	2.4E-7		-	M
6816	L-Lactate + NAD+ = NADH + H+ + Pyruvate	1.1.1.27	Q6JH30;Q4PRK9	Plasmodium vivax	7.5	A	concentration	Pyruvate	0.01		-	M
6816	L-Lactate + NAD+ = NADH + H+ + Pyruvate	1.1.1.27	Q6JH30;Q4PRK9	Plasmodium vivax	7.5	Ki3	Ki	Gossylic lactone	7.0E-8		-	M
6816	L-Lactate + NAD+ = NADH + H+ + Pyruvate	1.1.1.27	Q6JH30;Q4PRK9	Plasmodium vivax	7.5	kcat_Km	kcat/Km	Pyruvate	7333333.0		-	M^(-1)*s^(-1)
6817	L-Lactate + NAD+ = NADH + H+ + Pyruvate	1.1.1.27	P13774;Q71T02;Q76NM3	Plasmodium falciparum	9.2	Km	Km	L-Lactate	0.012		4E-4	M
6817	L-Lactate + NAD+ = NADH + H+ + Pyruvate	1.1.1.27	P13774;Q71T02;Q76NM3	Plasmodium falciparum	9.2	B	concentration	NAD+	0.001		-	M
6817	L-Lactate + NAD+ = NADH + H+ + Pyruvate	1.1.1.27	P13774;Q71T02;Q76NM3	Plasmodium falciparum	9.2	kcat	kcat		65.0		3.333333E0	s^(-1)
